HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
152,,,,,,0,36,46.6,N,44,29,19,5.13,1.6,1.97,  K5-M0III,-0.023,0.033,0.007,-33
153,17,Zet,Cas,,,0,36,58.3,N,53,53,49,3.66,-0.2,-0.87,  B2IV,0.019,-0.009,0.004,2
154,29,Pi,And,513,,0,36,52.9,N,33,43,10,4.36,-0.14,-0.55,  B5V,0.015,-0.004,-0.003,9
155,53,,Psc,,,0,36,47.3,N,15,13,54,5.89,-0.15,-0.66,  B2.5IV,0.002,-0.015,,-9
156,,,,,,0,37,7.2,N,24,0,51,6.47,,,  K2III,-0.014,-0.044,,-1
157,,,,,,0,37,21.1,N,35,23,58,5.48,0.88,0.48,  G2.5IIa,-0.016,-0.005,,0
158,,,,,,0,39,47.3,N,82,29,38,6.4,0.55,-0.01, dF6,-0.111,0.078,0.028,-33
159,,,,520,,0,37,20.7,S,24,46,2,5.57,0.72,0.24,  G8V,1.39,-0.012,0.076,17
160,,,,,,0,36,37.4,S,65,7,29,6.42,1.26,1.38,  K2-3III,0.029,-0.02,,20
161,,,,,,0,37,30.5,N,3,8,7,6.39,1.33,1.52,  K4III,0.095,-0.061,,4
162,,,,,,0,37,18.1,S,54,23,39,6.41,1,,  K0II-IIICNIV,0.056,-0.021,,-6
163,30,Eps,And,,,0,38,33.3,N,29,18,42,4.37,0.87,0.47,  G6III,-0.227,-0.254,0.031,-84
164,,,,546,,0,39,9.9,N,49,21,16,5.43,1.64,,  K7III,0.008,-0.011,,-8
165,31,Del,And,548,,0,39,19.7,N,30,51,39,3.27,1.28,1.48,  K3III,0.136,-0.091,0.028,-7
166,54,,Psc,,,0,39,21.8,N,21,15,2,5.87,0.85,0.57,  K0+V,-0.464,-0.37,0.099,-34
167,55,,Psc,558,,0,39,55.6,N,21,26,18,5.36,1.16,1.05,  K0III+F3V,0.028,-0.035,0.009,-17
168,18,Alp,Cas,561,,0,40,30.5,N,56,32,14,2.23,1.17,1.13,  K0IIIa,0.053,-0.032,0.016,-4
169,,,,,,0,38,40.8,S,73,8,14,6.85,0.11,0.12,  A1m,-0.017,0.02,,21
170,,,,,,0,39,57.9,S,33,57,42,6.69,0.51,-0.03,  F8V,0.333,-0.116,0.02,-11
171,,,,,,0,39,52,S,44,47,48,6.01,1.14,1.09,  K1III,0.045,0,,8
172,,,,,,0,40,28.6,S,16,31,1,6.49,0.92,0.53,  G5,0.037,-0.04,,48
173,,,,,,0,40,32.9,S,23,48,16,6.14,0.7,0.21,  G3V,0.644,-0.333,0.043,-53
174,,,,,,0,40,42.4,S,4,21,7,5.91,1.1,0.89,  K0III,-0.013,-0.013,,35
175,32,,And,,,0,41,7.2,N,39,27,31,5.33,0.89,0.6,  G8III,-0.01,-0.007,0.01,-5
176,,,,,,0,40,26.4,S,59,27,16,5.89,0.55,0.01,  G1V,0.889,0.448,0.058,2
177,,,,,,0,42,3.4,N,66,8,51,5.83,1.04,0.87,  G9III-IV,-0.013,-0.009,,-3
178,,,,,,0,41,36,N,24,37,45,6.04,0.26,0.22,  A7m,0.107,-0.016,,-15
179,19,Xi,Cas,,,0,42,3.9,N,50,30,45,4.8,-0.11,-0.63,  B2V,0.015,-0.005,,-10
180,,Mu,Phe,,,0,41,19.6,S,46,5,6,4.59,0.97,0.72,  G8III,-0.014,-0.002,0.004,19
181,,,,,,0,42,31.1,N,58,45,12,6.17,-0.01,-0.11,  B9.5III,0.036,-0.007,,-3
182, M,31,And,,,,,,,,,,,,,,,,,
183,,Xi,Phe,,,0,41,46.4,S,56,30,6,5.7,0.2,,  Ap,0.085,0.044,,10
184,20,Pi,Cas,,,0,43,28.1,N,47,1,29,4.94,0.18,0.09,  A5V,-0.02,-0.034,0.023,13
185,,Lam1,Scl,,,0,42,42.9,S,38,27,48,6.06,-0.03,-0.13,  A0V,0.003,-0.005,,10
186,,,,,,0,42,41.8,S,60,15,45,5.98,1.32,1.45,  K5III,0.255,-0.045,,26
187,,Rho,Tuc,,,0,42,28.4,S,65,28,5,5.39,0.5,0.02,  F6V,0.053,0.042,0.038,14
188,16,Bet,Cet,,,0,43,35.4,S,17,59,12,2.04,1.02,0.87,  G9.5III,0.234,0.033,0.061,13
189,,,,,,0,44,26.4,N,47,51,51,5.67,-0.12,-0.56,  B5V,-0.026,0.015,,-60
190,,,,,,0,43,50.2,S,12,0,42,6.02,1.1,1.09,  K2III-IV,0.007,-0.204,,-9
191,,Eta,Phe,,,0,43,21.2,S,57,27,47,4.36,0,-0.02,  A0IV,-0.006,0.011,0.046,2
192,21,,Cas,624,,0,45,39,N,74,59,17,5.66,0.05,0.07,  A2IV,-0.018,-0.026,,9
193,22,Omi,Cas,622,,0,44,43.5,N,48,17,4,4.54,-0.07,-0.51,  B5IIIe,0.019,-0.008,,-17
194,17,Phi1,Cet,,,0,44,11.4,S,10,36,34,4.76,1.01,0.84,  K0III,-0.009,-0.113,0.022,1
195,,Lam2,Scl,,,0,44,12.1,S,38,25,18,5.9,1.16,1.18,  K1III,0.244,0.113,0.01,27
196,,,,625,,0,45,17.2,N,55,13,18,5.42,0.04,0.04,  A2V s,-0.025,0.002,0.012,-9
197,,,,,,0,44,44.4,S,22,0,22,5.24,0.33,,  F1III-IV,-0.066,0.083,0.048,12
198,,,,,,0,44,57.1,S,42,40,36,5.94,0.28,,  F0V,-0.086,-0.102,,10
199,,,,,,0,44,32.3,S,62,29,52,6.07,0.44,0.13,  F5III-IV,0.143,-0.005,,-4
200,,,,,,0,46,39,N,69,19,30,6.33,,,  F3V,0.196,0.001,,-14
201,,,,,,0,45,24.1,S,4,37,45,6.15,1.62,2.01,  M0III,0.028,0.033,,7
202,,,,,,0,45,0,S,53,42,54,6.15,0.53,-0.08,  F7III,0.23,0,,14
203,18,,Cet,,,0,45,28.7,S,12,52,51,6.15,0.61,0.1,  G0V,-0.034,-0.201,,-13
