HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
243,,,,,,0,51,18.3,N,3,23,6,6.37,1.07,0.89,  K0III,0.016,-0.067,,6
244,,,,721,,0,53,4.1,N,61,7,27,4.82,0.53,0.12,  F8V,-0.071,0.172,0.066,21
245,,,,,,0,51,52.1,S,43,42,33,6.9,0.35,,  F2V+F5V,0.025,-0.013,0.007,13
246,,,,,,0,52,53.4,N,38,32,55,6.69,0.02,0.1,  A2V,0.029,-0.021,,16
247,,,,726,,0,52,40.6,S,24,0,21,5.46,1.24,1.21,  K2III,0.035,0.035,0.007,34
248,20,,Cet,,,0,53,0.5,S,1,8,39,4.77,1.57,1.93,  M0III,0.008,-0.017,-0.003,16
249,,,,,,0,53,28.2,N,37,25,5,6.06,1.14,, gK3,0.013,-0.046,,-6
250,,,,735,,0,53,47.6,N,52,41,21,6.27,0.19,0.15,  A5m,0.076,-0.026,0.013,-1
251,,,,733,A,0,53,12.4,S,24,46,37,6.46,0.44,0.03,  F6IV-V,0.098,0.037,0.006,-4
252,,Lam1,Tuc,,,0,52,24.3,S,69,30,16,6.22,0.56,0.08,  F7IV-V,-0.007,-0.086,,30
253,26,Ups1,Cas,748,,0,55,0.1,N,58,58,22,4.83,1.21,1.26,  K2III,-0.032,-0.043,0.006,-23
254,66,,Psc,746,,0,54,35.2,N,19,11,18,5.74,-0.01,-0.14,  A1VN,0.018,-0.014,0.014,10
255,21,,Cet,,,0,54,17.6,S,8,44,27,6.16,0.92,0.54,  G5IV,0.018,-0.052,,45
256,,,,,,0,55,5.2,N,48,40,43,6.27,1.68,2,  M2.5IIIa,-0.022,-0.006,,-52
257,,,,,,0,53,37.9,S,62,52,17,5.7,1.56,1.77,  M4III,0.073,0.004,,-10
258,36,,And,755,,0,54,58,N,23,37,42,5.47,1,0.9,  K1IV,0.131,-0.031,0.022,2
259,,,,,,0,55,14.7,N,24,33,25,6.2,1.62,1.75,  M4IIIab,0.02,-0.015,,-10
260,,,,,,0,56,12.9,N,57,59,48,6.21,1.37,,  K3III,0.037,-0.014,,-30
261,,,,,,0,56,55.6,N,68,46,34,6.37,0.38,-0.02,  F4III,0.137,-0.021,,-8
262,67,,Psc,,,0,55,58.5,N,27,12,34,6.09,0.14,0.09,  A5IV,-0.02,0.013,,-8
263,,,,,,0,55,42.4,S,7,20,50,5.85,1.52,1.93,  K5III,-0.007,-0.046,,2
264,27,Gam,Cas,782,,0,56,42.5,N,60,43,0,2.47,-0.15,-1.08,  B0IVe,0.026,-0.005,0.016,-7
265,28,Ups2,Cas,,,0,56,39.8,N,59,10,52,4.63,0.96,0.69,  G8IIIb,-0.092,-0.046,0.051,-47
266,,,,784,,0,56,47.1,N,60,21,46,5.55,-0.07,-0.32,  B9IVn,0.032,-0.008,0.007,-5
267,22,Phi3,Cet,,,0,56,1.5,S,11,16,0,5.31,1.52,1.78,  K4III,-0.02,-0.008,0.009,-26
268,,,,,,0,55,55.5,S,27,46,32,6.1,1.67,1.97,  M0III,0,0.002,,22
269,37,Mu,And,788,,0,56,45.2,N,38,29,58,3.87,0.13,0.15,  A5V,0.152,0.033,0.039,8
270,,Lam2,Tuc,,,0,55,0.3,S,69,31,37,5.45,1.09,1,  K2III,0.006,-0.045,0.035,5
271,38,Eta,And,,,0,57,12.4,N,23,25,3,4.42,0.94,0.69,  G8IIIb,-0.044,-0.048,0.009,-10
272,,,,,,0,57,39.7,N,45,50,23,6.12,1.02,0.89,  K2III,0.013,0.005,,5
273,,,,,,0,58,31.1,N,66,21,8,5.97,-0.02,-0.13,  A0III,0.043,-0.006,,-10
274,68,,Psc,,,0,57,50.2,N,28,59,32,5.42,1.08,, gG6,0.008,-0.008,,-1
275,,,,,,0,58,14.2,N,33,57,3,5.98,1,,  K0,0.035,-0.072,,-17
276,,,,,,0,57,54.5,N,13,41,45,6.32,0.89,0.57,  G8III,-0.011,-0.013,,15
277,,,,805,,0,58,18.9,N,21,24,16,6.37,0.09,0.11,  A2V,-0.006,-0.003,0.009,-6
278,,,,,,1,0,31,N,70,58,59,6.39,0.13,0.11,  A4IV,0.082,0,,6
279,23,Phi4,Cet,,,0,58,43.9,S,11,22,48,5.61,0.97,0.66,  G7III,-0.034,-0.019,,-19
280,,Alp,Scl,,,0,58,36.4,S,29,21,27,4.31,-0.16,-0.56,  B7IIIp,0.022,0.004,,10
281,,,,,,0,58,22.4,S,60,41,47,6.23,0.1,0.13,  Am,0.05,0.018,,7
282,,,,824,B,1,0,3.4,N,44,42,40,6.84,,,  A2Vn,0.011,-0.024,0.005,17
283,,,,824,A,1,0,3.6,N,44,42,48,6.04,-0.01,-0.04,  B9.5Vn,0.016,-0.023,0.005,1
284,,,,,,0,59,49.7,N,6,28,59,6.11,1.67,1.92,  M2III,0.023,-0.008,0.001,-15
285,,,,,,1,8,44.7,N,86,15,25,4.25,1.21,1.33,  K2II-III,0.076,-0.012,,9
286,,,,,,1,33,50.4,N,89,0,56,6.46,0.11,0.07,  A3V,0.062,-0.036,,-10
287,,,,,,1,2,18.4,N,51,2,6,6.47,,,  A3V,-0.004,-0.013,,6
288,,Xi,Scl,,,1,1,18.3,S,38,55,0,5.59,1.18,,  K0III,0.069,0.045,0.034,-31
289,,,,862,,1,3,1.5,N,47,22,34,6.45,0.25,0.09,  A9IV,0.088,-0.015,0.012,3
290,39,,And,863,,1,2,54.3,N,41,20,42,5.98,0.16,0.1,  A5m,-0.02,-0.01,,4
291,69,Sig,Psc,,,1,2,49.1,N,31,48,16,5.5,-0.05,-0.18,  B9.5V,0.015,-0.028,,10
292,,,,868,,1,3,37,N,61,4,30,5.92,0.49,,  F0II,-0.006,0.004,,-1
293,,Sig,Scl,,,1,2,26.4,S,31,33,7,5.5,0.08,0.13,  A2V,0.082,0.012,,-8
294,71,Eps,Psc,,,1,2,56.6,N,7,53,24,4.28,0.96,0.7,  K0III,-0.078,0.023,0.027,7
295,,Ome,Phe,,,1,2,1.8,S,57,0,9,6.11,0.94,,  G8III,0.006,0.015,,13
296,25,,Cet,,,1,3,2.6,S,4,50,12,5.43,1.11,1.04,  K0III-IV,-0.108,-0.106,,15
297,,,,,,1,4,19.6,N,61,34,49,5.84,0.54,0.11,  F6V,-0.07,-0.022,,-16
298,,,,,,1,4,2.4,N,52,30,8,5.99,1.47,,  K2,0.001,-0.059,,-7
299,,,,,,1,2,49.2,S,46,23,51,5.36,0.9,,  G8III,0,0.002,0.025,-1
300,,,,,,1,3,17.6,S,29,31,33,6.29,0.93,0.59,  G5IV,-0.114,-0.03,,57
301,26,,Cet,875,,1,3,49,N,1,22,0,6.04,0.27,0.13,  F1V,0.122,-0.042,0.024,6
302,,,,,,1,4,46.8,N,51,0,36,6.54,-0.08,-0.57,  B3V,0.019,-0.002,,-3
303,,,,,,1,4,27.6,N,29,39,31,6.19,0.43,-0.05,  F7IV-V,0.084,-0.116,,0
304,,,,,,1,2,42.9,S,65,27,22,6.21,1.64,1.91,  M2III,0.004,0,,35
305,,,,,,1,4,36.4,N,39,59,28,6.72,0.31,0.04,  F0Vn,0.077,-0.022,,11
306,,,,,,1,16,13.5,N,87,8,43,6.25,1.12,0.99, gK2,0.051,-0.027,0.011,-5
307,73,,Psc,,,1,4,52.6,N,5,39,23,6,1.51,1.86, gK5,0.028,-0.014,,-15
308,72,,Psc,889,,1,5,5.4,N,14,56,46,5.68,0.41,-0.06,  F4II-III,0.006,0.054,,4
309,,,,,,1,6,22.8,N,62,45,42,6.54,0.19,0.06,  A5Vn,0.102,-0.024,,11
310,74,Psi1,Psc,899,A,1,5,40.9,N,21,28,24,5.34,-0.03,-0.06,  A1Vn,0.05,-0.016,0.016,-3
311,74,Psi1,Psc,899,B,1,5,41.7,N,21,27,55,5.56,-0.07,-0.16,  A0Vn,0.047,-0.018,0.016,-4
312,,,,,,1,9,12.3,N,80,0,42,6.29,,,sgG6,-0.03,-0.038,,-27
313,77,,Psc,903,A,1,5,49.2,N,4,54,30,6.35,0.38,-0.05,  F3V,0.022,-0.121,,-7
314,77,,Psc,903,B,1,5,51.4,N,4,54,34,7.25,0.49,-0.04,  F6V,0.029,-0.119,,-10
315,27,,Cet,,,1,5,36.8,S,9,58,45,6.12,1.01,0.86,  K0III,-0.034,-0.033,,12
316,,,,,,1,7,0.2,N,56,56,6,6.43,1.18,1.26,  K2III,0.1,-0.11,,-96
317,28,,Cet,,,1,6,5.1,S,9,50,22,5.58,0.01,,  A1V,0.03,0.004,,11
318,,,,915,,1,7,9.5,N,53,29,54,6.38,,,  K2III,0.023,-0.001,,7
319,75,,Psc,,,1,6,33.6,N,12,57,22,6.12,0.96,,  G8III,0.019,0.023,,8
320,,,,,,1,6,7.7,S,23,59,33,6.14,1.09,1,  G8-K0III,-0.031,-0.041,,33
321,30,Mu,Cas,,,1,8,16.4,N,54,55,13,5.17,0.69,0.09,  G5Vb,3.424,-1.596,0.136,-97
322,,Bet,Phe,,,1,6,5,S,46,43,7,3.31,0.89,0.57,  G8III,-0.027,-0.001,0.021,-1
323,,,,,,1,6,26.5,S,35,39,39,6.61,0.14,0.16,  A1V,0.069,-0.023,,18
324,41,,And,,,1,8,0.9,N,43,56,31,5.03,0.11,0.14,  A3m,0.165,-0.07,0.031,9
325,,,,,,1,7,13.1,S,23,59,47,6.37,0.23,0.09,  A7V,0.098,-0.036,,15
326,,,,,,1,8,33.3,N,58,15,49,5.79,-0.01,-0.27,  B8V,0.007,-0.005,,-4
327,78,,Psc,,,1,8,1.3,N,32,0,44,6.25,0.4,-0.01,  F5IV,0.204,-0.03,,14
328,79,Psi2,Psc,,,1,7,57.2,N,20,44,21,5.55,0.13,0.13,  A3V,0.087,-0.094,,-2
329,30,,Cet,,,1,7,46.2,S,9,47,8,5.82,0.43,0.02,  F7IV,0.152,0.017,,22
330,80,,Psc,,,1,8,22.2,N,5,38,59,5.52,0.34,0,  F0III-IV,-0.264,-0.185,0.036,7
331,,Ups,Phe,,,1,7,47.9,S,41,29,13,5.21,0.16,0.09,  A3IV,0.038,0.01,0.014,14
332,,Iot,Tuc,,,1,7,18.7,S,61,46,31,5.37,0.88,,  G5III,0.073,-0.012,0.033,-8
333,,,,,,1,12,16.7,N,79,40,26,5.64,0.01,0.03,  A3V,0.091,-0.005,,18
334,31,Eta,Cet,,,1,8,35.4,S,10,10,56,3.45,1.16,1.19,  K1.5III,0.218,-0.138,0.041,12
335,42,Phi,And,940,,1,9,30.2,N,47,14,31,4.25,-0.07,-0.34,  B7Ve,0.01,-0.009,0.003,0
336,31,,Cas,,,1,10,39.3,N,68,46,43,5.29,-0.02,-0.06,  A0Vnn,0.036,-0.031,0.017,1
337,43,Bet,And,949,,1,9,43.9,N,35,37,14,2.06,1.58,1.96,  M0+IIIa,0.178,-0.114,0.049,3
338,,Zet,Phe,,,1,8,23.1,S,55,14,45,3.92,-0.08,-0.41,  B6V+B9V,0.019,0.025,0.013,15
339,81,Psi3,Psc,,,1,9,49.2,N,19,39,31,5.55,0.69,,  G0III,-0.006,0.009,,-8
340,44,,And,,,1,10,18.8,N,42,4,53,5.65,0.6,,  F8V,-0.133,-0.043,,-11
341,,,,,,1,10,19.4,N,25,27,28,5.8,1.47,1.82,  K7III,0,-0.114,,5
342,,,,,,1,11,25.6,N,64,12,10,5.55,-0.07,-0.13,  B9.5V,0.04,-0.013,,-10
343,33,The,Cas,,,1,11,6.2,N,55,8,59,4.33,0.17,0.12,  A7V,0.229,-0.022,0.014,9
344,,,,,,1,10,11.5,N,15,40,27,6.06,1.49,,  M0III,0.031,-0.021,,-3
345,32,,Cas,,,1,11,41.4,N,65,1,8,5.57,-0.09,-0.28,  B9IV,0.023,-0.016,,-2
346,32,,Cet,,,1,10,12,S,8,54,22,6.4,1.04,0.87,  K0III,-0.013,-0.036,,-20
347,33,,Cet,,,1,10,33.6,N,2,26,44,5.95,1.51,1.87,  K4III,0,-0.015,,-3
348,45,,And,,,1,11,10.3,N,37,43,27,5.81,-0.1,-0.4,  B7III-IV,-0.012,-0.007,0.003,-1
349,82,,Psc,,,1,11,6.8,N,31,25,29,5.16,0.23,,  F0V,-0.011,-0.014,,2
350,,,,,,1,10,7.4,S,57,41,40,6.41,0.89,,  G6II-III,-0.006,-0.121,,88
351,84,Chi,Psc,,,1,11,27.2,N,21,2,5,4.66,1.03,0.82,  G8.5III-IIIa,0.038,-0.011,0.015,16
352,83,Tau,Psc,,,1,11,39.6,N,30,5,23,4.51,1.09,1.01,  K0.5IIIb,0.072,-0.035,0.023,30
353,34,,Cet,,,1,11,43.5,S,2,15,4,5.94,1.4,1.68,  K4III,-0.062,-0.026,,-9
354,,,,987,,1,13,9.9,N,61,42,21,6.41,0.01,-0.27,  B9V,0.033,-0.021,,-2
355,,,,,,1,12,34,N,45,20,16,6.11,1.64,2.03,  M1III,0.021,0.026,,22
356,,,,990,,1,12,59.5,N,30,3,51,6.19,1,0.75,  G9III+G1V,0.02,-0.034,,36
357,,,,,,1,16,30.7,N,79,54,36,6.26,0.42,-0.07,  F5V s,-0.055,0.059,,-43
358,,,,,,1,12,23.4,S,30,48,8,6.52,0.48,0.03,  F7IV,0.061,-0.077,,14
359,,,,,,1,12,45.4,S,37,51,23,5.92,0.28,0.12,  F0III,0.09,-0.034,,10
360,85,Phi,Psc,995,,1,13,44.9,N,24,35,1,4.65,1.04,0.85,  K0III,0.017,-0.023,0.007,6
361,86,Zet,Psc,996,A,1,13,43.9,N,7,34,31,5.24,0.32,0.09,  A7IV,0.144,-0.056,0.026,9
362,86,Zet,Psc,996,B,1,13,45.3,N,7,34,42,6.3,0.49,0.01,  F7V,0.147,-0.052,0.026,11
363,,,,,,1,14,5,N,28,31,47,6.43,1.7,1.87,  S3+/2-,0.079,-0.049,,2
364,87,,Psc,,,1,14,7.6,N,16,8,1,5.98,-0.08,-0.41,  B8III,-0.027,-0.026,,-16
365,,,,,,1,16,12.1,N,71,44,38,7.83,0.78,0.35,  K1V,0.006,0.004,,-17
366,37,,Cet,1003,A,1,14,24,S,7,55,23,5.13,0.46,-0.05,  F5V,0.127,0.273,0.056,22
367,88,,Psc,,,1,14,42.4,N,6,59,43,6.03,1.08,1.02, gG6,-0.011,-0.024,,-9
368,38,,Cet,,,1,14,49.2,S,0,58,26,5.7,0.42,-0.02,  F5V,-0.012,0.201,0.028,26
369,,,,,,1,16,24.5,N,48,4,56,6.61,-0.05,-0.34,  B9IIIp,0.01,0.001,,-14
370,,Nu,Phe,,,1,15,11.1,S,45,31,53,4.96,0.58,0.11,  F8V,0.669,0.183,0.069,12
371,,,,,,1,16,18.8,N,33,6,53,6.02,1.15,,  K1III,0.016,-0.033,,6
372,,,,,,1,17,5.1,N,44,54,7,6.34,,,  K5,0.014,-0.045,,-52
373,39,,Cet,,,1,16,36.3,S,2,30,1,5.41,0.9,0.44,  G5IIIe+dA,-0.104,-0.063,0.015,-20
374,,,,,,1,17,24.1,N,31,44,41,6.73,,,  K0,-0.052,0.003,,-34
375,,,,,,1,20,19.5,N,77,34,14,6.31,0.92,,  G5III,-0.018,0.086,,-74
376,,,,,,1,18,10.2,N,47,25,11,6.25,1.35,,  K0,0.018,-0.002,,-1
377,,Kap,Tuc,,A,1,15,46.1,S,68,52,34,4.86,0.47,0.03,  F6IV,0.399,0.107,0.061,9
378,89,,Psc,,,1,17,48,N,3,36,52,5.16,0.07,0.08,  A3V,-0.046,-0.025,0.013,5
379,,,,1055,,1,18,47,N,37,23,10,6.46,0.23,0.14,  A5m,-0.011,-0.014,0.008,5
380,,,,,,1,17,3.6,S,66,23,53,6.24,0.05,-0.02,  A0V,0.044,0.002,0.01,13
381,,,,,,1,21,59.1,N,76,14,20,6.38,0.28,0.07,  F0IVn,0.063,-0.032,,-16
382,34,Phi,Cas,1073,,1,20,4.9,N,58,13,54,4.98,0.68,0.49,  F0Ia,0,-0.002,-0.003,-24
383,90,Ups,Psc,,,1,19,28,N,27,15,51,4.76,0.03,0.1,  A3V,0.025,-0.013,0.019,8
384,35,,Cas,1088,,1,21,5.2,N,64,39,30,6.34,0.09,,  A2Vnn,0.057,-0.019,,-15
385,42,,Cet,1081,,1,19,48.3,S,0,30,32,5.87,0.64,0.32,  G8III+A7V,0.012,-0.014,0.009,14
386,,,,,,1,23,46.8,N,78,43,33,6.07,0.39,-0.08,  A0Iab,-0.009,-0.003,,-75
387,,,,,,1,20,34.5,S,3,14,49,6.23,1.02,0.84,  K1III,-0.013,0.006,,-3
388,,,,,,1,20,27.8,S,11,14,20,6.15,1.11,1.03,  K1III,-0.047,-0.074,,-11
389,91,,Psc,,,1,21,7.4,N,28,44,17,5.23,1.39,, gK5,0.027,-0.078,,-36
390,46,Xi,And,,,1,22,20.4,N,45,31,44,4.88,1.08,0.99,  K0-IIIb,0.032,0.009,0.026,-13
391,,,,1105,,1,23,21.6,N,58,8,35,6.45,,,  F4V,0.139,-0.094,0.005,7
392,,,,,,1,22,37,N,1,43,35,6.2,1.52,1.86,  K5IIIab,0.066,-0.048,,-16
393,43,,Cet,,,1,22,34.8,S,0,26,59,6.49,1.08,1.01, gK0,0.023,-0.014,,14
394,,,,1106,,1,22,30.5,S,19,4,53,6.35,0.48,,  F6IV,-0.056,-0.071,0.008,-5
395,47,,And,,,1,23,40.6,N,37,42,54,5.58,0.26,0.13,  A2Vm,0.083,-0.022,,13
396,,,,,,1,23,37.5,N,34,14,45,6.29,0.83,0.48,  G8IV,0.229,0.116,,3
397,,,,,,1,23,24.9,N,20,28,8,5.97,1.71,,  K5,-0.009,-0.007,,-11
398,,,,,,1,25,46.5,N,70,58,48,6.49,,,  A0Vnn,0.016,-0.013,,11
399,36,Psi,Cas,1129,,1,25,56,N,68,7,48,4.74,1.05,0.94,  K0III,0.074,0.026,0.013,-12
400,,,,,,1,23,31,S,30,56,44,5.84,1.61,2.05,  K5III,-0.012,-0.046,,-16
401,44,,Cet,,,1,24,2.5,S,8,0,27,6.21,0.23,0.09,  F0V,0.174,-0.07,,6
402,45,The,Cet,1118,,1,24,1.4,S,8,11,0,3.6,1.06,0.93,  K0III-IIIb,-0.079,-0.218,0.041,17
403,37,Del,Cas,,,1,25,49,N,60,14,7,2.68,0.13,0.12,  A5III-IV,0.297,-0.051,0.037,7
404,,,,1123,,1,24,20.6,S,6,54,53,5.91,0.41,-0.05,  F3V,0.042,0.003,0.023,32
405,,,,,,1,24,39.8,S,15,39,37,6.14,0.91,0.54,  G5,0.012,-0.005,,13
406,,,,,,1,24,48.7,S,2,50,55,6.15,0.96,0.71,  G8III,0.013,-0.03,,-27
407,,,,,,1,25,35.7,N,23,30,42,6.18,0.43,0,  F5III,0.032,-0.021,,-16
408,,,,,,1,24,40.8,S,41,29,33,5.42,1.04,0.86,  K0III,0.022,-0.038,-0.012,74
409,,,,,,1,26,18.6,N,43,27,28,5.96,0.49,0.01,  F7V,0.103,-0.06,,31
410,,,,,,1,26,8.7,N,34,34,47,6.31,0.47,0.01,  F7V,0.23,-0.087,,17
411,,,,,,1,24,41.9,S,44,31,42,6.26,1.14,1.08,  K1II,-0.009,-0.018,,-10
412,46,,Cet,,,1,25,37.2,S,14,35,56,4.9,1.23,1.26,  K2.5IIIb,0.039,-0.018,0.007,-23
413,93,Rho,Psc,,,1,26,15.3,N,19,10,20,5.38,0.39,-0.1,  F2V:,-0.024,0.01,0.038,-9
414,94,,Psc,,,1,26,41.7,N,19,14,25,5.5,1.11,1.05,  K1III,0.05,-0.061,0.013,-42
415,,,,,,1,27,6.2,N,34,22,39,6.27,0.46,0.02,  F7IVb vs,0.154,-0.011,,15
416,,,,,,1,26,27.3,S,0,23,55,6.41,1.24,1.27,  K0IV,0.044,-0.001,0.023,-6
417,48,Ome,And,1152,,1,27,39.4,N,45,24,24,4.83,0.42,0,  F5IV,0.351,-0.107,0.03,11
418,,,,1151,,1,27,26.6,N,41,6,2,6.46,0.27,0.03,  A7m,0.003,-0.001,,1
419,,,,1148,,1,26,53.5,N,3,32,7,6.58,-0.04,-0.19,  B9V+A8V,0.004,-0.035,-0.016,15
420,,,,,,1,25,5.3,S,64,22,10,5.93,1.56,1.92,  K5III,0.023,-0.019,,23
421,47,,Cet,,,1,26,51.6,S,13,3,24,5.66,0.35,0.02,  F0III,0.016,0.009,,10
422,,,,,,1,27,47,N,40,20,8,6.6,-0.04,-0.17,  A0III,0.015,-0.019,,-1
423,,,,,,1,26,58.1,S,32,32,35,5.79,3.86,7.4,  C6II,-0.011,-0.031,,-8
424,1,Alp,UMi,1477,,2,31,48.7,N,89,15,51,2.02,0.6,0.38,  F7:Ib-II,0.038,-0.015,0.007,-17
425,,,,1162,,1,27,46.6,S,10,54,6,6.13,1.32,1.36,  K4III-IV,0.18,0.019,,4
426,,,,,,1,28,22.9,N,7,57,41,6.2,1.12,1.08,  K1III,0.112,-0.003,,2
427,38,,Cas,,,1,31,13.8,N,70,15,53,5.81,0.47,-0.11,  F6V,0.137,-0.077,0.039,5
428,,,,,,1,30,52.3,N,66,5,53,6.14,0.08,0.05,  A2V s,0.084,-0.01,-0.001,9
429,,Gam,Phe,,,1,28,21.9,S,43,19,6,3.41,1.57,1.85,  M0-IIIa,-0.014,-0.209,0,26
430,49,,And,,,1,30,6.2,N,47,0,26,5.27,1,0.82,  K0III,0.008,-0.044,0.015,-11
431,,,,,,1,28,43.3,S,33,45,49,6.58,0.3,0.07,  F0IV,-0.055,-0.025,,-5
432,97,,Psc,,,1,29,52.9,N,18,21,20,6.02,0.14,0.14,  A4IV,0.063,-0.003,,4
433,48,,Cet,1184,,1,29,36.1,S,21,37,46,5.12,0.02,0.04,  A1V,0.056,0.006,0.028,1
434,98,Mu,Psc,,,1,30,11.1,N,6,8,38,4.84,1.37,1.54,  K4III,0.294,-0.048,0.018,34
435,,,,,,1,29,30.4,S,46,45,23,6.31,1.66,1.87,  M2III,-0.012,0.013,,18
436,,,,1193,,1,30,22.9,S,26,12,28,5.93,1.34,1.41,  K4III,0.045,0.002,,-1
437,99,Eta,Psc,1199,,1,31,29,N,15,20,45,3.62,0.97,0.75,  G7IIIa,0.028,-0.006,0.015,15
438,,,,,,1,32,7.6,N,34,48,0,6.39,-0.12,-0.42,  B7IIIp,-0.008,-0.002,,-1
439,,,,,,1,33,25.8,N,58,19,39,5.7,1.52,1.15,  K0Ib+B9V,0.011,0.002,,-1
440,,Del,Phe,,,1,31,15.1,S,49,4,22,3.95,0.99,0.7,  K0III,0.142,0.151,0.031,-7
441,,,,,,1,31,43.3,S,30,17,0,5.82,1.08,,  K0III,0.009,-0.067,,3
442,39,Chi,Cas,,,1,33,55.9,N,59,13,55,4.71,1,0.76,  G9IIIb,-0.037,-0.021,0.021,6
443,,,,,,1,31,39.1,S,45,34,32,6.17,0.06,0.09,  A2V,0,0.006,,8
444,,,,,,1,33,3.5,S,9,0,53,6.59,-0.04,-0.1,  A0III,0.029,0.003,,10
445,,,,,,1,32,56,S,36,51,55,5.51,1.02,,  K0III,0.002,-0.023,0.007,13
446,,,,,,1,34,16.6,N,37,14,14,5.88,-0.07,-0.3,  B9IV,0.009,-0.015,0.018,-4
447,,,,,,1,32,36.3,S,49,43,40,6.28,0.46,,  F4V,-0.03,-0.077,,2
448,,,,,,1,33,42.9,S,7,1,31,5.76,0.64,0.21,  G2IV,0.18,-0.081,,-15
449,,,,,,1,37,22.5,N,74,18,3,6.58,0.03,-0.16,  B9Ve,0.027,-0.009,,-8
450,,,,,,1,34,49.1,N,18,27,38,5.89,1.52,1.8,  M2IIIab,0.033,-0.069,,-26
451,49,,Cet,,,1,34,37.8,S,15,40,34,5.63,0.07,0.05,  A3V,0.096,0.003,,9
452,,,,,,1,35,52.5,N,41,4,35,6.38,1.11,1,  K1III,0.139,-0.002,,65
453,,,,,,1,34,50.7,S,31,53,32,6.12,1.11,,  K0-1III,-0.077,-0.036,,-11
454,,,,,,1,36,27.2,N,48,43,22,5.92,1.21,, gK1,-0.012,-0.017,,-43
455,101,,Psc,,,1,35,46.4,N,14,39,41,6.22,-0.04,-0.21,  B9.5III,0.004,-0.011,,-16
456,40,,Cas,1268,,1,38,30.9,N,73,2,24,5.28,0.96,0.72,  G8III,-0.013,-0.015,0.017,-5
457,,,,,,1,35,54.8,N,17,26,1,5.8,,,  F0IV,0.152,0.01,,3
458,50,Ups,And,,,1,36,47.8,N,41,24,20,4.09,0.54,0.06,  F8V,-0.171,-0.382,0.062,-28
459,50,,Cet,,,1,35,59,S,15,24,1,5.42,1.21,1.2,  K2IIIa,0.023,0.011,,24
460,,,,,,1,35,15.2,S,58,8,22,6.01,0.38,,  F2V,0.277,-0.035,0.011,1
461,,,,,,1,38,7.6,N,57,58,39,5.56,1.38,1.43,  G5II,0.007,-0.006,,-8
462,,Tau,Scl,,,1,36,8.4,S,29,54,27,5.69,0.33,,  F2V,0.1,0.04,0.025,5
463,102,Pi,Psc,,,1,37,5.9,N,12,8,30,5.57,0.35,-0.02,  F0V,-0.066,0.043,,-1
464,51,,And,,,1,37,59.6,N,48,37,42,3.57,1.28,1.45,  K3-III,0.065,-0.113,0.021,16
465,,,,,,1,38,31.7,N,45,24,0,6.36,0.04,-0.1,  B9p,-0.034,0.014,,3
466,,,,,,1,37,37.7,S,9,24,14,6.24,0.53,0,  F7V,0.259,0.093,0.024,48
467,,,,,,1,33,39.2,S,78,30,17,6.11,0.97,0.7,  K0III,-0.034,-0.136,,-1
468,,,,,,1,36,44.8,S,58,16,15,6.18,1.61,1.89,  M3III,0.022,0.003,,-2
469,52,Chi,And,,,1,39,21,N,44,23,10,4.98,0.89,0.55,  G8III,-0.022,0.012,0.009,7
470,,,,,,1,40,13.1,N,53,52,6,6.39,1.61,1.98,  K5III,-0.011,-0.002,,-62
471,,,,,,1,38,27.4,S,36,31,42,5.94,1.05,0.9,  K0IV,-0.018,-0.128,,30
472,,Alp,Eri,,,1,37,42.9,S,57,14,12,0.46,-0.16,-0.66,  B3Vpe,0.095,-0.035,0.026,16
473,,,,,,1,38,51.8,S,21,16,31,5.58,0.34,,  A4n,0.131,0.036,,14
474,,,,1298,,1,38,50,S,25,1,19,6.7,-0.08,-0.17,  B9Vn,0.001,0.011,,15
475,105,,Psc,,,1,39,40.8,N,16,24,21,5.97,1.12,,  K2III,0.077,-0.015,,17
476,,,,,,1,40,39.8,N,43,17,52,5.61,0.21,0.14,sgA9,0.127,-0.037,,17
477,53,Tau,And,1311,,1,40,34.8,N,40,34,37,4.94,-0.09,-0.41,  B8III,0.013,-0.025,,-14
478,43,,Cas,,,1,42,20.5,N,68,2,35,5.59,-0.07,-0.23,  A0p,0.052,-0.009,,5
479,,,,,,1,38,48.2,S,53,26,20,6.84,0.44,0.11,  F5IV-V,-0.027,-0.046,,-3
480,42,,Cas,,,1,42,55.9,N,70,37,21,5.18,-0.04,,  B9V,0.077,-0.013,0.004,6
481,,,,,,1,42,3,N,61,2,18,6.71,-0.03,-0.41,  B8IIIp,0.015,-0.007,,-13
482,,,,1334,,1,42,17.8,N,58,37,40,6.37,-0.02,-0.45,  B8III,0.019,-0.01,,-4
483,,,,,,1,41,47.2,N,42,36,49,4.95,0.62,0.12,  G1.5V,0.809,-0.154,0.081,4
484,,,,1326,,1,41,18.4,N,25,44,45,6.17,0.44,0,  F2III,0.118,-0.04,0.023,5
485,,,,,,1,41,39.2,N,30,2,50,5.99,1.01,0.84,  K0III,-0.015,-0.006,,5
486,,,,,B,1,39,47.4,S,56,11,53,5.87,0.9,0.59,  K0V,0.31,-0.02,0.152,23
487,,,,,A,1,39,47.8,S,56,11,41,5.76,0.87,0.53,  K5V,0.279,0.02,0.152,20
488,,,,,,1,42,58.4,N,61,25,18,6.34,0.01,-0.45,  B7II,0.004,0.011,,-5
